count,loss
14100,0.026230093091726303,0.00059049
14200,0.01469119917601347,0.00059049
14300,0.05168859288096428,0.00059049
14400,0.018794260919094086,0.00059049
14500,0.014298547059297562,0.000531441
14600,0.0419626384973526,0.000531441
14700,0.017597109079360962,0.000531441
14800,0.02334200032055378,0.000531441
14900,0.024462198838591576,0.000531441
15000,0.013834166340529919,0.000531441
15100,0.03081948682665825,0.000531441
15200,0.09702098369598389,0.000531441
15300,0.0357263945043087,0.000531441
15400,0.028693780303001404,0.000531441
15500,0.024702541530132294,0.000531441
15600,0.02305394411087036,0.000531441
15700,0.042664047330617905,0.000531441
15800,0.023259621113538742,0.000531441
15900,0.02361079677939415,0.000531441
16000,0.02600882761180401,0.000531441
16100,0.01818055659532547,0.000531441
16200,0.021527335047721863,0.000531441
16300,0.021342024207115173,0.000531441
16400,0.04233510047197342,0.000531441
16500,0.028443915769457817,0.000531441
16600,0.027846533805131912,0.000531441
16700,0.017629392445087433,0.000531441
16800,0.03661473095417023,0.000531441
16900,0.06105949729681015,0.0004782969
17000,0.015193697065114975,0.0004782969
17100,0.01734190434217453,0.0004782969
17200,0.02045454829931259,0.0004782969
17300,0.014406383968889713,0.0004782969
17400,0.028138749301433563,0.0004782969
17500,0.07959380000829697,0.0004782969
17600,0.017014279961586,0.0004782969
17700,0.02199871651828289,0.0004782969
17800,0.037602685391902924,0.0004782969
17900,0.048355381935834885,0.0004782969
18000,0.02424715831875801,0.0004782969
18100,0.024484246969223022,0.0004782969
18200,0.011394387111067772,0.0004782969
18300,0.058587197214365005,0.0004782969
18400,0.024633929133415222,0.0004782969
18500,0.01567693054676056,0.0004782969
18600,0.03305187076330185,0.0004782969
18700,0.013991018757224083,0.0004782969
18800,0.0897878110408783,0.0004782969
18900,0.03966524451971054,0.0004782969
19000,0.024004153907299042,0.0004782969
19100,0.03699515014886856,0.0004782969
19200,0.014110499992966652,0.0004782969
19300,0.01900336518883705,0.00043046721
19400,0.019361114129424095,0.00043046721
19500,0.01064937375485897,0.00043046721
19600,0.021462343633174896,0.00043046721
19700,0.051116541028022766,0.00043046721
19800,0.014371100813150406,0.00043046721
19900,0.012739540077745914,0.00043046721
20000,0.029298391193151474,0.00043046721
20100,0.017306802794337273,0.00043046721
20200,0.017750989645719528,0.00043046721
20300,0.013570401817560196,0.00043046721
20400,0.029250064864754677,0.00043046721
20500,0.0226324163377285,0.00043046721
20600,0.022620461881160736,0.00043046721
20700,0.012914135120809078,0.00043046721
20800,0.02204247936606407,0.00043046721
20900,0.024260424077510834,0.00043046721
21000,0.011405307799577713,0.00043046721
21100,0.015970652922987938,0.00043046721
21200,0.019014306366443634,0.00043046721
21300,0.01572255976498127,0.00043046721
21400,0.023761531338095665,0.00043046721
21500,0.017607256770133972,0.00043046721
21600,0.01625657081604004,0.00043046721
21700,0.08561158925294876,0.000387420489
21800,0.013386743143200874,0.000387420489
21900,0.01126854307949543,0.000387420489
22000,0.09813053160905838,0.000387420489
22100,0.018381576985120773,0.000387420489
22200,0.013130451552569866,0.000387420489
22300,0.03796277195215225,0.000387420489
22400,0.03426896035671234,0.000387420489
22500,0.03142779693007469,0.000387420489
22600,0.021769201382994652,0.000387420489
22700,0.019895896315574646,0.000387420489
22800,0.01797286793589592,0.000387420489
22900,0.01881442964076996,0.000387420489
23000,0.023735113441944122,0.000387420489
23100,0.016376720741391182,0.000387420489
23200,0.026219282299280167,0.000387420489
23300,0.015305789187550545,0.000387420489
23400,0.02899634838104248,0.000387420489
23500,0.02577170357108116,0.000387420489
23600,0.022369928658008575,0.000387420489
23700,0.010492074303328991,0.000387420489
23800,0.011486168019473553,0.000387420489
23900,0.023367920890450478,0.000387420489
24000,0.014014124870300293,0.000387420489
24100,0.016485264524817467,0.0003486784401
24200,0.023347269743680954,0.0003486784401
24300,0.013606996275484562,0.0003486784401
24400,0.01841617561876774,0.0003486784401
24500,0.011405961588025093,0.0003486784401
24600,0.033592626452445984,0.0003486784401
24700,0.016447633504867554,0.0003486784401
24800,0.02288157492876053,0.0003486784401
24900,0.03004775568842888,0.0003486784401
25000,0.02007119543850422,0.0003486784401
25100,0.04637408256530762,0.0003486784401
25200,0.019525041803717613,0.0003486784401
25300,0.014597654342651367,0.0003486784401
25400,0.027098432183265686,0.0003486784401
25500,0.016780799254775047,0.0003486784401
25600,0.0127500519156456,0.0003486784401
25700,0.023737886920571327,0.0003486784401
25800,0.009920287877321243,0.0003486784401
25900,0.011083397082984447,0.0003486784401
26000,0.015990734100341797,0.0003486784401
26100,0.026180461049079895,0.0003486784401
26200,0.019222714006900787,0.0003486784401
26300,0.017008014023303986,0.0003486784401
26400,0.013196543790400028,0.0003486784401
26500,0.01469077356159687,0.00031381059609000004
26600,0.07816725224256516,0.00031381059609000004
26700,0.05307009816169739,0.00031381059609000004
26800,0.011179191991686821,0.00031381059609000004
26900,0.016383418813347816,0.00031381059609000004
27000,0.03022245317697525,0.00031381059609000004
27100,0.08088378608226776,0.00031381059609000004
